{'offset': -487609773.0, 'RTT': 153340816.0, 'smoothed_offset': -487609773.0, 'smoothed_RTT': 153340816.0, 'drop_rate': 0.0, 'current_system_time': (1589143488.0, 834543943.0), 'adjusted_system_time': (1589143488.0, 346934170.0), 'current_drift': -48024564.70599381, 'average_drift': -48024564.70599381, 'average_RTT': 153340816.0}
{'offset': -782231681.5, 'RTT': 165259122.0, 'smoothed_offset': -487609773.0, 'smoothed_RTT': 153340816.0, 'drop_rate': 0.0, 'current_system_time': (1589143499.0, 51958084.0), 'adjusted_system_time': (1589143499.0, -435651689.0), 'current_drift': -76951474.83324528, 'average_drift': -62488019.76961954, 'average_RTT': 159299969.0}
{'offset': 405187118.5, 'RTT': 21826267.0, 'smoothed_offset': 405187118.5, 'smoothed_RTT': 21826267.0, 'drop_rate': 0.0, 'current_system_time': (1589143509.0, 130331754.0), 'adjusted_system_time': (1589143509.0, 535518872.5), 'current_drift': 40430467.23272438, 'average_drift': -28181857.4355049, 'average_RTT': 113475401.66666667}
{'offset': -134287537.5, 'RTT': 151166439.0, 'smoothed_offset': 405187118.5, 'smoothed_RTT': 21826267.0, 'drop_rate': 0.0, 'current_system_time': (1589143519.0, 336845874.0), 'adjusted_system_time': (1589143519.0, 742032992.5), 'current_drift': -13228779.008496758, 'average_drift': -24443587.828752864, 'average_RTT': 122898161.0}
{'offset': 413104544.0, 'RTT': 156281471.0, 'smoothed_offset': 405187118.5, 'smoothed_RTT': 21826267.0, 'drop_rate': 0.0, 'current_system_time': (1589143529.0, 499895572.0), 'adjusted_system_time': (1589143529.0, 905082690.5), 'current_drift': 40674782.90943085, 'average_drift': -11419913.681116123, 'average_RTT': 129574823.0}
{'offset': 97151269.5, 'RTT': 162478208.0, 'smoothed_offset': 405187118.5, 'smoothed_RTT': 21826267.0, 'drop_rate': 0.0, 'current_system_time': (1589143539.0, 716450929.0), 'adjusted_system_time': (1589143540.0, 121638047.5), 'current_drift': 9559801.016205043, 'average_drift': -7923294.564895928, 'average_RTT': 135058720.5}
{'offset': -524623306.5, 'RTT': 18080711.0, 'smoothed_offset': -524623306.5, 'smoothed_RTT': 18080711.0, 'drop_rate': 0.0, 'current_system_time': (1589143549.0, 753493309.0), 'adjusted_system_time': (1589143549.0, 228870002.5), 'current_drift': -52367646.22229046, 'average_drift': -14272487.658809433, 'average_RTT': 118347576.28571428}
{'offset': -65638281.0, 'RTT': 145982980.0, 'smoothed_offset': -524623306.5, 'smoothed_RTT': 18080711.0, 'drop_rate': 0.0, 'current_system_time': (1589143559.0, 954849481.0), 'adjusted_system_time': (1589143559.0, 430226174.5), 'current_drift': -6469386.07421161, 'average_drift': -13297099.960734705, 'average_RTT': 121802001.75}
{'offset': 414353482.0, 'RTT': 186136484.0, 'smoothed_offset': -524623306.5, 'smoothed_RTT': 18080711.0, 'drop_rate': 0.0, 'current_system_time': (1589143570.0, 195171117.0), 'adjusted_system_time': (1589143570.0, -329452189.5), 'current_drift': 40678178.880761206, 'average_drift': -7299846.756124048, 'average_RTT': 128950277.55555555}
{'offset': -34700086.0, 'RTT': 164871931.0, 'smoothed_offset': -524623306.5, 'smoothed_RTT': 18080711.0, 'drop_rate': 0.0, 'current_system_time': (1589143580.0, 372020006.0), 'adjusted_system_time': (1589143580.0, -152603300.5), 'current_drift': -3413725.8428386585, 'average_drift': -6911234.664795509, 'average_RTT': 132542442.9}
{'offset': 345384341.0, 'RTT': 27503729.0, 'smoothed_offset': -524623306.5, 'smoothed_RTT': 18080711.0, 'drop_rate': 0.0, 'current_system_time': (1589143590.0, 413733720.0), 'adjusted_system_time': (1589143590.0, -110889586.5), 'current_drift': 34443701.07797943, 'average_drift': -3151695.051815969, 'average_RTT': 122993468.9090909}
